FECHA;CODIGO_REGION;REGION_RESIDENCIA;CASOS_NUEVOS_TOTALES;NUMERO_PCR;SEMANA
2020-04-09;15;Arica y Parinacota;0;70;2020-04-06
2020-04-09;1;Tarapacá;0;0;2020-04-06
2020-04-09;2;Antofagasta;0;182;2020-04-06
2020-04-09;3;Atacama;0;57;2020-04-06
2020-04-09;4;Coquimbo;0;0;2020-04-06
2020-04-09;5;Valparaíso;0;301;2020-04-06
2020-04-09;13;Metropolitana de Santiago;0;5383;2020-04-06
2020-04-09;6;Libertador General Bernardo O'Higgins;0;68;2020-04-06
2020-04-09;7;Maule;0;397;2020-04-06
2020-04-09;16;Ñuble;0;364;2020-04-06
2020-04-09;8;Biobío;0;592;2020-04-06
2020-04-09;9;La Araucanía;0;124;2020-04-06
2020-04-09;14;Los Ríos;0;0;2020-04-06
2020-04-09;10;Los Lagos;0;341;2020-04-06
2020-04-09;11;Aysén del General Carlos Ibáñez del Campo;0;10;2020-04-06
2020-04-09;12;Magallanes y de la Antártica Chilena;0;73;2020-04-06
2020-04-10;15;Arica y Parinacota;0;0;2020-04-06
2020-04-10;1;Tarapacá;0;0;2020-04-06
2020-04-10;2;Antofagasta;0;128;2020-04-06
2020-04-10;3;Atacama;0;52;2020-04-06
2020-04-10;4;Coquimbo;0;0;2020-04-06
2020-04-10;5;Valparaíso;0;249;2020-04-06
2020-04-10;13;Metropolitana de Santiago;0;3185;2020-04-06
2020-04-10;6;Libertador General Bernardo O'Higgins;0;0;2020-04-06
2020-04-10;7;Maule;0;219;2020-04-06
2020-04-10;16;Ñuble;0;0;2020-04-06
2020-04-10;8;Biobío;0;149;2020-04-06
2020-04-10;9;La Araucanía;0;148;2020-04-06
2020-04-10;14;Los Ríos;0;91;2020-04-06
2020-04-10;10;Los Lagos;0;199;2020-04-06
2020-04-10;11;Aysén del General Carlos Ibáñez del Campo;0;0;2020-04-06
2020-04-10;12;Magallanes y de la Antártica Chilena;0;24;2020-04-06
2020-04-11;15;Arica y Parinacota;0;93;2020-04-06
2020-04-11;1;Tarapacá;0;0;2020-04-06
2020-04-11;2;Antofagasta;0;107;2020-04-06
2020-04-11;3;Atacama;0;60;2020-04-06
2020-04-11;4;Coquimbo;0;0;2020-04-06
2020-04-11;5;Valparaíso;0;248;2020-04-06
2020-04-11;13;Metropolitana de Santiago;0;2105;2020-04-06
2020-04-11;6;Libertador General Bernardo O'Higgins;0;74;2020-04-06
2020-04-11;7;Maule;0;0;2020-04-06
2020-04-11;16;Ñuble;0;259;2020-04-06
2020-04-11;8;Biobío;0;281;2020-04-06
2020-04-11;9;La Araucanía;0;126;2020-04-06
2020-04-11;14;Los Ríos;0;0;2020-04-06
2020-04-11;10;Los Lagos;0;178;2020-04-06
2020-04-11;11;Aysén del General Carlos Ibáñez del Campo;0;0;2020-04-06
2020-04-11;12;Magallanes y de la Antártica Chilena;0;46;2020-04-06
2020-04-12;15;Arica y Parinacota;0;103;2020-04-06
2020-04-12;1;Tarapacá;0;0;2020-04-06
2020-04-12;2;Antofagasta;0;175;2020-04-06
2020-04-12;3;Atacama;0;25;2020-04-06
2020-04-12;4;Coquimbo;0;0;2020-04-06
2020-04-12;5;Valparaíso;0;273;2020-04-06
2020-04-12;13;Metropolitana de Santiago;0;3861;2020-04-06
2020-04-12;6;Libertador General Bernardo O'Higgins;0;0;2020-04-06
2020-04-12;7;Maule;0;341;2020-04-06
2020-04-12;16;Ñuble;0;189;2020-04-06
2020-04-12;8;Biobío;0;469;2020-04-06
2020-04-12;9;La Araucanía;0;184;2020-04-06
2020-04-12;14;Los Ríos;0;0;2020-04-06
2020-04-12;10;Los Lagos;0;225;2020-04-06
2020-04-12;11;Aysén del General Carlos Ibáñez del Campo;0;7;2020-04-06
2020-04-12;12;Magallanes y de la Antártica Chilena;0;45;2020-04-06
2020-04-13;15;Arica y Parinacota;0;0;2020-04-13
2020-04-13;1;Tarapacá;0;0;2020-04-13
2020-04-13;2;Antofagasta;0;103;2020-04-13
2020-04-13;3;Atacama;0;20;2020-04-13
2020-04-13;4;Coquimbo;0;0;2020-04-13
2020-04-13;5;Valparaíso;0;223;2020-04-13
2020-04-13;13;Metropolitana de Santiago;0;1850;2020-04-13
2020-04-13;6;Libertador General Bernardo O'Higgins;0;74;2020-04-13
