SEMANA;CODIGO_COMUNA;PASO
2020-07-27;1101;1
2020-08-03;1101;1
2020-08-10;1101;1
2020-08-17;1101;1
2020-08-24;1101;1
2020-08-31;1101;1
2020-09-07;1101;1
2020-09-14;1101;1
2020-09-21;1101;1
2020-09-28;1101;2
2020-10-05;1101;2
2020-10-12;1101;2
2020-10-19;1101;2
2020-10-26;1101;2
2020-11-02;1101;2
2020-11-09;1101;2
2020-11-16;1101;2
2020-11-23;1101;2
2020-11-30;1101;2
2020-12-07;1101;2
2020-12-14;1101;2
2020-12-21;1101;3
2020-12-28;1101;3
2021-01-04;1101;1
2021-01-11;1101;1
2021-01-18;1101;1
2021-01-25;1101;1
2021-02-01;1101;1
2021-02-08;1101;1
2021-02-15;1101;2
2021-02-22;1101;2
2021-03-01;1101;2
2021-03-08;1101;2
2021-03-15;1101;1
2021-03-22;1101;1
2021-03-29;1101;1
2021-04-05;1101;1
2021-04-12;1101;1
2021-04-19;1101;1
2021-04-26;1101;1
2021-05-03;1101;1
2020-07-27;1107;1
2020-08-03;1107;1
2020-08-10;1107;1
2020-08-17;1107;1
2020-08-24;1107;1
2020-08-31;1107;1
2020-09-07;1107;1
2020-09-14;1107;1
2020-09-21;1107;1
2020-09-28;1107;2
2020-10-05;1107;2
2020-10-12;1107;2
2020-10-19;1107;2
2020-10-26;1107;2
2020-11-02;1107;2
2020-11-09;1107;2
2020-11-16;1107;2
2020-11-23;1107;3
2020-11-30;1107;3
2020-12-07;1107;3
2020-12-14;1107;3
2020-12-21;1107;3
2020-12-28;1107;3
2021-01-04;1107;1
2021-01-11;1107;1
2021-01-18;1107;1
2021-01-25;1107;1
2021-02-01;1107;1
2021-02-08;1107;1
2021-02-15;1107;2
2021-02-22;1107;2
2021-03-01;1107;2
2021-03-08;1107;2
2021-03-15;1107;1
2021-03-22;1107;1
2021-03-29;1107;1
2021-04-05;1107;1
2021-04-12;1107;1
2021-04-19;1107;1
2021-04-26;1107;1
2021-05-03;1107;1
2020-07-27;1401;1
2020-08-03;1401;1
2020-08-10;1401;1
2020-08-17;1401;1
2020-08-24;1401;1
2020-08-31;1401;1
2020-09-07;1401;1
2020-09-14;1401;1
2020-09-21;1401;1
2020-09-28;1401;2
2020-10-05;1401;2
2020-10-12;1401;2
2020-10-19;1401;2
2020-10-26;1401;2
2020-11-02;1401;3
2020-11-09;1401;3
2020-11-16;1401;3
2020-11-23;1401;3
2020-11-30;1401;3
2020-12-07;1401;3
2020-12-14;1401;3
2020-12-21;1401;3
2020-12-28;1401;3
2021-01-04;1401;3
2021-01-11;1401;2
2021-01-18;1401;1
2021-01-25;1401;1
2021-02-01;1401;1
2021-02-08;1401;1
2021-02-15;1401;1
2021-02-22;1401;2
2021-03-01;1401;2
2021-03-08;1401;2
2021-03-15;1401;2
2021-03-22;1401;2
2021-03-29;1401;2
2021-04-05;1401;2
2021-04-12;1401;1
2021-04-19;1401;1
2021-04-26;1401;1
2021-05-03;1401;1
2020-07-27;1402;3
2020-08-03;1402;3
2020-08-10;1402;3
2020-08-17;1402;3
2020-08-24;1402;3
2020-08-31;1402;3
2020-09-07;1402;3
2020-09-14;1402;3
2020-09-21;1402;3
2020-09-28;1402;3
2020-10-05;1402;3
2020-10-12;1402;3
2020-10-19;1402;3
2020-10-26;1402;3
2020-11-02;1402;3
2020-11-09;1402;3
2020-11-16;1402;3
2020-11-23;1402;3
2020-11-30;1402;3
2020-12-07;1402;3
2020-12-14;1402;3
2020-12-21;1402;3
2020-12-28;1402;3
2021-01-04;1402;3
2021-01-11;1402;3
2021-01-18;1402;3
2021-01-25;1402;3
2021-02-01;1402;3
2021-02-08;1402;3
2021-02-15;1402;3
2021-02-22;1402;3
2021-03-01;1402;3
2021-03-08;1402;3
2021-03-15;1402;3
2021-03-22;1402;3
2021-03-29;1402;3
2021-04-05;1402;3
2021-04-12;1402;3
2021-04-19;1402;3
2021-04-26;1402;2
2021-05-03;1402;2
2020-07-27;1403;3
2020-08-03;1403;3
2020-08-10;1403;3
2020-08-17;1403;3
2020-08-24;1403;3
2020-08-31;1403;3
2020-09-07;1403;3
2020-09-14;1403;3
2020-09-21;1403;3
2020-09-28;1403;3
2020-10-05;1403;3
2020-10-12;1403;3
2020-10-19;1403;3
2020-10-26;1403;3
2020-11-02;1403;3
2020-11-09;1403;3
2020-11-16;1403;3
2020-11-23;1403;3
2020-11-30;1403;3
2020-12-07;1403;3
2020-12-14;1403;3
2020-12-21;1403;3
