REGION_RESIDENCIA;FECHA;CAMAS_UCI_HABILITADAS;CAMAS_UCI_OCUPADAS_COVID_19;CAMAS_UCI_OCUPADAS_NO_COVID_19;CAMAS_BASE_2019;SEMANA
Total;2020-04-14;1550;389;597;1331;2020-04-13
Total;2020-04-15;1563;384;602;1331;2020-04-13
Total;2020-04-16;1582;385;628;1331;2020-04-13
Total;2020-04-17;1604;360;665;1331;2020-04-13
Total;2020-04-18;1627;373;666;1331;2020-04-13
Total;2020-04-19;1627;377;680;1331;2020-04-13
Total;2020-04-20;1621;392;691;1331;2020-04-20
Total;2020-04-21;1614;399;694;1331;2020-04-20
Total;2020-04-22;1619;411;663;1331;2020-04-20
Total;2020-04-23;1622;415;671;1331;2020-04-20
Total;2020-04-24;1625;418;666;1331;2020-04-20
Total;2020-04-25;1630;415;643;1331;2020-04-20
Total;2020-04-26;1702;426;656;1331;2020-04-20
Total;2020-04-27;1702;428;682;1331;2020-04-27
Total;2020-04-28;1700;418;699;1331;2020-04-27
Total;2020-04-29;1705;419;691;1331;2020-04-27
Total;2020-04-30;1708;428;672;1331;2020-04-27
Total;2020-05-01;1710;425;673;1331;2020-04-27
Total;2020-05-02;1825;449;685;1331;2020-04-27
Total;2020-05-03;1825;464;687;1331;2020-04-27
Total;2020-05-04;1825;470;704;1331;2020-05-04
Total;2020-05-05;1825;486;699;1331;2020-05-04
Total;2020-05-06;1825;493;696;1331;2020-05-04
Total;2020-05-07;1825;508;690;1331;2020-05-04
Total;2020-05-08;1825;544;686;1331;2020-05-04
Total;2020-05-09;1825;565;711;1331;2020-05-04
Total;2020-05-10;1825;574;701;1331;2020-05-04
Total;2020-05-11;1912;604;702;1331;2020-05-11
Total;2020-05-12;1912;642;688;1331;2020-05-11
Total;2020-05-13;1912;663;696;1331;2020-05-11
Total;2020-05-14;1912;711;686;1331;2020-05-11
Total;2020-05-15;1912;751;742;1331;2020-05-11
Total;2020-05-16;1912;769;729;1331;2020-05-11
Total;2020-05-17;2130;807;754;1331;2020-05-11
Total;2020-05-18;2130;876;728;1331;2020-05-18
Total;2020-05-19;2130;904;771;1331;2020-05-18
Total;2020-05-20;2130;943;797;1331;2020-05-18
Total;2020-05-21;2130;986;811;1331;2020-05-18
Total;2020-05-22;2177;1062;769;1331;2020-05-18
Total;2020-05-23;2250;1090;824;1331;2020-05-18
Total;2020-05-24;2318;1135;835;1331;2020-05-18
Total;2020-05-25;2347;1202;823;1331;2020-05-25
Total;2020-05-26;2370;1251;790;1331;2020-05-25
Total;2020-05-27;2417;1289;797;1331;2020-05-25
Total;2020-05-28;2479;1350;783;1331;2020-05-25
Total;2020-05-29;2518;1371;802;1331;2020-05-25
Total;2020-05-30;2544;1383;831;1331;2020-05-25
Total;2020-05-31;2576;1446;817;1331;2020-05-25
Total;2020-06-01;2604;1451;867;1331;2020-06-01
Total;2020-06-02;2744;1475;929;1331;2020-06-01
Total;2020-06-03;2744;1496;917;1331;2020-06-01
Total;2020-06-04;2739;1521;907;1331;2020-06-01
Total;2020-06-05;2767;1524;915;1331;2020-06-01
Total;2020-06-06;2774;1558;905;1331;2020-06-01
Total;2020-06-07;2823;1581;916;1331;2020-06-01
Total;2020-06-08;2858;1577;959;1331;2020-06-08
Total;2020-06-09;2906;1590;1005;1331;2020-06-08
Total;2020-06-10;2873;1618;945;1331;2020-06-08
Total;2020-06-11;2878;1647;901;1331;2020-06-08
Total;2020-06-12;2863;1656;897;1331;2020-06-08
Total;2020-06-13;2894;1715;874;1331;2020-06-08
Total;2020-06-14;2898;1723;870;1331;2020-06-08
Total;2020-06-15;3017;1727;899;1331;2020-06-15
Total;2020-06-16;3014;1794;843;1331;2020-06-15
Total;2020-06-17;3014;1845;813;1331;2020-06-15
Total;2020-06-18;3014;1911;752;1331;2020-06-15
Total;2020-06-19;3014;1951;741;1331;2020-06-15
Total;2020-06-20;3014;1996;707;1331;2020-06-15
Total;2020-06-21;3018;2014;702;1331;2020-06-15
Total;2020-06-22;3018;2009;725;1331;2020-06-22
Total;2020-06-23;3022;2046;719;1331;2020-06-22
Total;2020-06-24;3023;2078;665;1331;2020-06-22
Total;2020-06-25;3039;2086;653;1331;2020-06-22
Total;2020-06-26;3046;2090;651;1331;2020-06-22
Total;2020-06-27;3040;2129;644;1331;2020-06-22
Total;2020-06-28;3080;2090;688;1331;2020-06-22
Total;2020-06-29;3107;2106;710;1331;2020-06-29
Total;2020-06-30;3114;2075;746;1331;2020-06-29
