REGION_RESIDENCIA;CODIGO_REGION;FECHA;CAMAS_UCI_HABILITADAS;CAMAS_UCI_OCUPADAS_COVID_19;CAMAS_UCI_OCUPADAS_NO_COVID_19;CAMAS_BASE_2019;SEMANA
Antofagasta;02;2020-04-14;54;5;25;48;2020-04-13
Antofagasta;02;2020-04-15;54;5;25;48;2020-04-13
Antofagasta;02;2020-04-16;60;6;35;48;2020-04-13
Antofagasta;02;2020-04-17;60;5;36;48;2020-04-13
Antofagasta;02;2020-04-18;68;5;41;48;2020-04-13
Antofagasta;02;2020-04-19;68;5;40;48;2020-04-13
Antofagasta;02;2020-04-20;73;7;42;48;2020-04-20
Antofagasta;02;2020-04-21;73;10;39;48;2020-04-20
Antofagasta;02;2020-04-22;75;14;41;48;2020-04-20
Antofagasta;02;2020-04-23;75;16;42;48;2020-04-20
Antofagasta;02;2020-04-24;75;16;42;48;2020-04-20
Antofagasta;02;2020-04-25;75;15;40;48;2020-04-20
Antofagasta;02;2020-04-26;75;17;45;48;2020-04-20
Antofagasta;02;2020-04-27;75;19;44;48;2020-04-27
Antofagasta;02;2020-04-28;75;20;40;48;2020-04-27
Antofagasta;02;2020-04-29;75;21;39;48;2020-04-27
Antofagasta;02;2020-04-30;75;23;36;48;2020-04-27
Antofagasta;02;2020-05-01;75;22;33;48;2020-04-27
Antofagasta;02;2020-05-02;75;24;36;48;2020-04-27
Antofagasta;02;2020-05-03;75;25;35;48;2020-04-27
Antofagasta;02;2020-05-04;75;24;32;48;2020-05-04
Antofagasta;02;2020-05-05;75;28;28;48;2020-05-04
Antofagasta;02;2020-05-06;81;28;29;48;2020-05-04
Antofagasta;02;2020-05-07;81;29;34;48;2020-05-04
Antofagasta;02;2020-05-08;81;30;35;48;2020-05-04
Antofagasta;02;2020-05-09;77;31;38;48;2020-05-04
Antofagasta;02;2020-05-10;77;32;33;48;2020-05-04
Antofagasta;02;2020-05-11;77;32;35;48;2020-05-11
Antofagasta;02;2020-05-12;79;38;34;48;2020-05-11
Antofagasta;02;2020-05-13;81;39;29;48;2020-05-11
Antofagasta;02;2020-05-14;85;41;27;48;2020-05-11
Antofagasta;02;2020-05-15;103;45;40;48;2020-05-11
Antofagasta;02;2020-05-16;104;49;37;48;2020-05-11
Antofagasta;02;2020-05-17;104;47;42;48;2020-05-11
Antofagasta;02;2020-05-18;109;50;36;48;2020-05-18
Antofagasta;02;2020-05-19;109;50;41;48;2020-05-18
Antofagasta;02;2020-05-20;106;50;42;48;2020-05-18
Antofagasta;02;2020-05-21;106;44;47;48;2020-05-18
Antofagasta;02;2020-05-22;104;44;46;48;2020-05-18
Antofagasta;02;2020-05-23;106;46;48;48;2020-05-18
Antofagasta;02;2020-05-24;110;47;52;48;2020-05-18
Antofagasta;02;2020-05-25;110;49;49;48;2020-05-25
Antofagasta;02;2020-05-26;114;48;55;48;2020-05-25
Antofagasta;02;2020-05-27;115;48;56;48;2020-05-25
Antofagasta;02;2020-05-28;119;54;50;48;2020-05-25
Antofagasta;02;2020-05-29;119;52;50;48;2020-05-25
Antofagasta;02;2020-05-30;119;48;57;48;2020-05-25
Antofagasta;02;2020-05-31;119;51;54;48;2020-05-25
Antofagasta;02;2020-06-01;119;53;53;48;2020-06-01
Antofagasta;02;2020-06-02;119;54;50;48;2020-06-01
Antofagasta;02;2020-06-03;121;54;45;48;2020-06-01
Antofagasta;02;2020-06-04;115;46;53;48;2020-06-01
Antofagasta;02;2020-06-05;123;49;55;48;2020-06-01
Antofagasta;02;2020-06-06;129;51;51;48;2020-06-01
Antofagasta;02;2020-06-07;129;53;48;48;2020-06-01
Antofagasta;02;2020-06-08;129;55;50;48;2020-06-08
Antofagasta;02;2020-06-09;128;58;50;48;2020-06-08
Antofagasta;02;2020-06-10;133;62;44;48;2020-06-08
Antofagasta;02;2020-06-11;134;63;47;48;2020-06-08
