semana;codigo_comuna;Casos_actuales_fin;Casos_actuales_ini;Casos_actuales_prom
2020-04-13;15101;72;88;80
2020-04-13;15102;0;0;0
2020-04-13;15202;0;0;0
2020-04-13;15201;0;0;0
2020-04-13;1107;7;8;7,66666666666667
2020-04-13;1402;0;0;0
2020-04-13;1403;0;0;0
2020-04-13;1404;0;0;0
2020-04-13;1101;10;11;9,66666666666667
2020-04-13;1405;21;9;15,6666666666667
2020-04-13;1401;0;2;1,33333333333333
2020-04-13;2101;62;49;55
2020-04-13;2201;10;12;11
2020-04-13;2302;4;1;2,33333333333333
2020-04-13;2102;14;11;12,6666666666667
2020-04-13;2202;0;0;0
2020-04-13;2203;0;1;0,333333333333333
2020-04-13;2103;0;0;0
2020-04-13;2104;5;3;4,33333333333333
2020-04-13;2301;8;1;4
2020-04-13;3302;0;0;0
2020-04-13;3102;0;0;0
2020-04-13;3201;0;0;0
2020-04-13;3101;5;5;5
2020-04-13;3202;0;0;0
2020-04-13;3303;0;0;0
2020-04-13;3304;0;0;0
2020-04-13;3103;4;4;4
2020-04-13;3301;0;0;0
2020-04-13;4103;0;0;0
2020-04-13;4202;0;0;0
2020-04-13;4302;0;0;0
2020-04-13;4102;0;1;1
2020-04-13;4201;10;13;11,6666666666667
2020-04-13;4104;0;0;0
2020-04-13;4101;1;2;1,33333333333333
2020-04-13;4203;0;0;0
2020-04-13;4303;0;0;0
2020-04-13;4301;0;0;0,333333333333333
2020-04-13;4105;0;0;0
2020-04-13;4304;0;0;0
2020-04-13;4305;0;0;0
2020-04-13;4204;3;3;3
2020-04-13;4106;0;0;0
2020-04-13;5602;0;0;0
2020-04-13;5402;0;0;0
2020-04-13;5502;5;1;3
2020-04-13;5302;3;2;2,33333333333333
2020-04-13;5603;0;2;1,33333333333333
2020-04-13;5102;1;2;1,33333333333333
2020-04-13;5702;0;0;0
2020-04-13;5103;1;1;1,33333333333333
2020-04-13;5604;2;2;2,33333333333333
2020-04-13;5605;1;0;0,333333333333333
2020-04-13;5503;0;0;0
2020-04-13;5201;0;3;1,33333333333333
2020-04-13;5104;0;0;0
2020-04-13;5504;2;3;2,33333333333333
2020-04-13;5401;0;1;0,333333333333333
2020-04-13;5802;11;6;8,33333333333333
2020-04-13;5703;0;0;0
2020-04-13;5301;4;3;3,66666666666667
2020-04-13;5506;0;0;0
2020-04-13;5803;2;1;1,33333333333333
2020-04-13;5704;0;0;0
2020-04-13;5403;0;0;0
2020-04-13;5404;0;1;0,333333333333333
2020-04-13;5105;0;0;0
2020-04-13;5705;1;0;0,666666666666667
2020-04-13;5501;6;5;5,33333333333333
2020-04-13;5801;5;7;5,66666666666667
2020-04-13;5107;0;0;0
2020-04-13;5303;2;2;2
2020-04-13;5601;17;10;11,6666666666667
2020-04-13;5304;0;0;0
2020-04-13;5701;0;1;0,333333333333333
2020-04-13;5706;0;0;0
2020-04-13;5606;5;2;4,33333333333333
2020-04-13;5101;15;15;14
2020-04-13;5804;1;1;1
2020-04-13;5109;14;15;13,6666666666667
2020-04-13;5405;0;0;0
2020-04-13;13502;0;0;0
2020-04-13;13402;12;15;13,3333333333333
2020-04-13;13403;1;1;0,666666666666667
2020-04-13;13102;23;13;18
2020-04-13;13103;40;26;31,3333333333333
2020-04-13;13301;15;20;16,6666666666667
2020-04-13;13104;28;24;26
2020-04-13;13503;4;6;4,66666666666667
2020-04-13;13105;51;47;46,6666666666667
2020-04-13;13602;6;8;6
2020-04-13;13106;41;34;38
2020-04-13;13107;22;19;20,6666666666667
2020-04-13;13108;44;27;33
2020-04-13;13603;3;7;5
2020-04-13;13109;23;21;22,6666666666667
2020-04-13;13110;77;72;70,3333333333333
2020-04-13;13111;20;26;22,6666666666667
2020-04-13;13112;44;34;38,6666666666667
2020-04-13;13113;12;15;13,3333333333333
2020-04-13;13302;14;18;16,3333333333333
2020-04-13;13114;37;47;40,6666666666667
2020-04-13;13115;38;23;28,6666666666667
2020-04-13;13116;33;37;34,3333333333333
2020-04-13;13117;26;18;19,3333333333333
2020-04-13;13118;13;15;12,3333333333333
2020-04-13;13119;102;81;88
2020-04-13;13504;1;0;0,333333333333333
2020-04-13;13501;12;5;8
2020-04-13;13120;78;60;67,3333333333333
2020-04-13;13604;10;11;10
2020-04-13;13404;6;5;5,33333333333333
2020-04-13;13121;47;34;41,6666666666667
